number,name,lng,lat,region
7466,Queens Academic Group Limited,174.7653786,-36.8499532,Auckland Region
7471,EVAKONA Education,175.6988665,-36.8413472,Waikato Region
7476,Safety 'n Action Limited,174.5522022,-36.6699477,Auckland Region
7479,New Zealand Institute of Management Incorporated,174.7771659,-41.286029,Wellington Region
7480,The Campbell Institute Limited,174.7744076,-41.2908185,Wellington Region
7488,International College of Auckland Limited,174.6824209,-36.9106952,Auckland Region
7491,Foundation English Limited,174.7653786,-36.8499532,Auckland Region
7493,Institute of Commercial Education NZ Ltd,174.908779,-36.8996753,Auckland Region
7499,Imperial College of New Zealand,174.7564775,-36.8674366,Auckland Region
7502,Ignite Colleges,174.8744456,-37.0073446,Auckland Region
7508,NZ Institute of Science & Technology Ltd,174.7633733,-36.8480121,Auckland Region
7526,North Shore International Academy,-105.0153406,39.6157122,Auckland Region
7529,National Engineering Institute Limited,174.7631184,-36.8454363,Auckland Region
7530,National Institute of Education,174.763709,-36.8455462,Auckland Region
7539,UUNZ Institute of Business,174.7663075,-36.856325,Auckland Region
7542,Youth Cultures & Community Trust t/a Praxis,174.7775972,-41.2940122,Wellington Region
7548,ICL Business School,174.7671923,-36.8476481,Auckland Region
7551,Bay of Plenty English Language School,176.1668446,-37.6857855,Bay of Plenty Region
7554,Cornell Institute of Business & Technology,174.7599374,-36.8512842,Auckland Region
7558,Canterbury International College,172.6471781,-43.5387106,Canterbury Region
7560,EF International Language Schools Limited,174.7693619,-36.8460028,Auckland Region
7575,Elite Management School (EMS),174.7761773,-41.2909742,Wellington Region
7577,School of Business Limited,174.7735765,-36.8665896,Auckland Region
7590,Auckland Edinburgh College,174.8785718,-36.99178,Auckland Region
7592,Talent International Institute,170.5080902,-45.8704403,Otago Region
7594,Rewi Alley Academy,172.597467,-43.5362379,Canterbury Region
7601,ACG Norton College,174.7624619,-36.8507634,Auckland Region
7608,North Shore Language School,174.7413594,-36.7737494,Auckland Region
